"sda", "natural resources"
"pasir", "sand" 
"tambang", "mining source" 
"batu", "rock"
"subur", "lucrative minerals"
"tanah", "fertile soil"
"lahan", "arable lands"
"air", "abundant clean water"
"ekonomi", "(economy) robust economy"
"kerja", "(employment) ample employment opportunities"
"pencaharian", "(livelihood) ample employment opportunities"
"makan", "(eat) easy to meet daily needs"
"rezeki", "(income) easy to meet daily needs"
"wisata", "(tourism) close to tourist attractions"
"tanaman", "(regarding to fertile crops) Fertile crops provide significant economic benefits"
"pangan", "(food) easy to meet daily needs"
"tani", "(farmer/livelihood) Fertile crops provide significant economic benefits"
"kebun", "(farmer/livelihood) Fertile crops provide significant economic benefits"
"lahir", "(birth) have lived there since birth/ long-term residency"
"parent", "(parent) close to family (strong familial ties)"
"keluarga", "(family) close to family (strong familial ties)"
"choice", "no other choice"
"safe", "safe/secure"
"comfort", "cozy"
"tentram", "peaceful"
"asri", "scenic"
"tenang", "peaceful"
"rukun", "harmonious*"
"gotong", "mutual cooperation*" 
"udara", "(air) fresh and cool air quality"
"sejuk", "(cool) fresh and cool air quality"
"segar", "(fresh air) fresh and cool air quality"
"dingin", "(cool) fresh and cool air quality"
"polusi", "minimal pollution"
"cuaca", "(pleasant weather) fresh and cool air quality"
"adem", "(cool) fresh and cool air quality"
