"Risky_Area","gender","advantage_risky_area"
"Risky","Male","tanah subur"
"Risky","Male","tanah subur, mata air besar"
"Risky","Female","Jauh dari polusi  Gampang Mandapat bahan makanan"
"Risky","Female","Bisa makan, dapat pangasilan,dekat sama keluarga"
"Risky","Female","Bisa hidup,bisa makan,bisa menghidupi dan bisa berkumpul dengan keluarga."
"Risky","Male","sejuk Dan subur"
"Risky","Female","tanahnya subur udara sejuk"
"Risky","Male","subur Dan dingin"
"Risky","Female","sejuk"
"Risky","Female","Bisa makan, nyaman comfort"
"Risky","Male","Banyak mengasilkan uang separti tambang pasir, ekonomi"
"Risky","Female","tanah subur,sumber mata air melimpah,dan sejuk"
"Risky","Female","cuacanya dingin, subur"
"Risky","Male","Lumayan ekonomi"
"Risky","Male","Www"
"Risky","Female","Enak desa saya sangat  sejuk"
"Risky","Male","1 tanahnya subur  2 udaranya dingin"
"Risky","Male","1.udara sejuk  2.tanah subur  3.tanaman tumbuh subur  4.jauh Dari polusi  5.karena orang tua parent dulunya Dari sini"
"Risky","Female","asri dan subur"
"Risky","Male","tanah subur dan udara sejuk"
"Safe","Male","tanah subur  ekonomi maju  pertanian maju  udara sejuk  air lancar"
"Safe","Male","sejuk, tanah subur"
"Safe","Male","tanah subur ekonomi baik"
"Safe","Male","tanah subur  ekonomi lancar"
"Safe","Male","tanah subur"
"Safe","Male","tanahnya subur ekonomi mudah, udaranya sejuk"
"Safe","Female","tanah subur"
"Safe","Female","udara segar,ekonomi lancar"
"Safe","Female","tanahnya subur ,udaranya sejuk,ekonomi mudah"
"Safe","Female","karena kesuburan tanahnya, yang membuat kami orang desa mampu bertahan dan sejahtera,sumber air sangat melimpah, orang desa sangat guyub rukun saling membantu"
"Safe","Female","safe aman damai, tanah subur, bebas dari polusi"
"Safe","Male","tanahnya subur"
"Safe","Female","tanah subur.sda melimpah.biaya hidup atau ekonomi terjangkau"
"Safe","Male","tanah subur  tidak perah terjadi kekeringan"
"Safe","Male","tanahnya subur"
"Safe","Male","mata pencaharian yang melimpah"
"Safe","Female","sda yang Melimpah"
"Safe","Male","udara sejuk  tanaman subur  cari ekonomi mudah"
"Safe","Female","tanahnya subur, banyak sumber air, suasananya sejuk,"
"Safe","Male","tanah subur dan cocok untukertanian"
"Risky","Male","subur gemah ripah lohjinawi"
"Risky","Male","tanahnya subur dan udaranya sejuk"
"Risky","Female","tanahnya sangat subur"
"Risky","Male","banyak sda yamg bisa di manfaatkan, damai, safe aman"
"Risky","Male","udara sangat sejuk ,lingkunganya indah, asri"
"Risky","Male","tanah subur, udara sejuk"
"Risky","Male","tanahnya yang subur , suhunya sejuk"
"Risky","Female","perkebunan yang bagus"
"Risky","Female","gampang kerja,suasana yg sejuk dan gk bising, nyaman comfort"
"Risky","Female","mudah untuk mencari sayur mudah untuk menanam sayur, ekonomi, jauh dari polusi"
"Risky","Male","udara yg sejuk jauh dari polusi dan tanaman yg subur serta harga kebutuhan yang terbilag cukup murah dan terjangkau, ekonomi"
"Risky","Male","segar,,,sehat soalnya udaranya masih bersih tidak tercemar serta tanah yg subur,,meski pendapatan tergolong minim di banding di kota..."
"Risky","Male","tanah subur"
"Risky","Male","asri"
"Risky","Male","tanah subur  masarakat nya ramah juga senang gotong royong"
"Risky","Male","tanah subur"
"Risky","Female","dari ambil pasir"
"Risky","Female","tanah subur"
"Risky","Female","daerah yang sejuk bebas polusi dan tanah yang subur membuat masyarakat lereng gunung ekonomi menjadi makmur"
"Risky","Female","enak udara sangat segar,tanahnya subur,tidak banyak polusi,jauh dari kebisingan, nyaman comfort."
"Risky","Female","sangat senang tinggal di sini karena tanah yang sangat subur bisa menanam apa saja dengan hasil yang sangat baik.dan keuntungan menanam bisa berlimpah,,,,"
"Risky","Female","tanah subur, udara segar"
"Risky","Male","udara sangat sejuk"
"Risky","Female","udara yg sejuk dan tanah yg subur serta lingkungan yg nyaman comfort"
"Risky","Male","mudahnya perekonomian suburnya pertanian"
"Risky","Male","penghasilan mudah ekonomi, lingkungan nyaman comfort"
"Risky","Female","tanah subur udaranya segar"
"Risky","Male","tentram nyaman comfort, sejuk"
"Risky","Male","mencari ekonomi mudah, tanah sangat subur"
"Risky","Male","Mudah mendapatkatkan air, udaranya sejuk, tanah yang subur cocok untuk bercocok tanam"
"Risky","Male","tanahnya subur"
"Risky","Male","tanahnaya subur,"
"Risky","Male","sumber ekonomi mudah,"
"Risky","Male","sumber penghasilan, ekonomi"
"Risky","Female","tanahnya subur , udaranya sejuk ,"
"Risky","Female","tanah subuh,penghasilan terjamin ekonomi.."
"Risky","Female","tanahnya subur,"
"Risky","Female","sejuk ,tentram nyaman comfort ,gampang mencari nafkah, ekonomi"
"Risky","Male","kehidupan tentram, nyaman comfort"
"Risky","Male","Mika is working!"
"Risky","Female","kelahiran  tanahnya subur"
"Risky","Female","kelahiran saya  tanahnya subur, sangat baik untuk bercocok tanam,,,misalnya salak,cengkeh dan lainya"
